"Cluster","HPCA","Blueprint","Final_Annotation"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","NK_cell","CD8+ T-cells","C5-CD14_Myeloid_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"9","T_cells","CD8+ T-cells","C9-TAM"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"14","B_cell","B-cells","C14-Transit_amplifying_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"10","NK_cell","NK cells","C10-Goblet_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"5","T_cells","NK cells","C5-CD14_Myeloid_cell"
"12","Monocyte","Monocytes","C12-Progenitor_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"14","B_cell","B-cells","C14-Transit_amplifying_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"14","B_cell","B-cells","C14-Transit_amplifying_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"6","Epithelial_cells","Epithelial cells","C6-NK_activated"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"12","DC","Monocytes","C12-Progenitor_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"12","Macrophage","Macrophages","C12-Progenitor_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"13","Epithelial_cells","Epithelial cells","C13-Fibroblast"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"13","Epithelial_cells","Epithelial cells","C13-Fibroblast"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"6","Epithelial_cells","HSC","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"5","NK_cell","CD8+ T-cells","C5-CD14_Myeloid_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"9","T_cells","CD8+ T-cells","C9-TAM"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"12","Pro-Myelocyte","HSC","C12-Progenitor_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"13","Epithelial_cells","Epithelial cells","C13-Fibroblast"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","T_cells","NK cells","C5-CD14_Myeloid_cell"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"12","Monocyte","Monocytes","C12-Progenitor_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"1","T_cells","CD8+ T-cells","C1-Follicular_B_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"9","NK_cell","CD8+ T-cells","C9-TAM"
"5","T_cells","NK cells","C5-CD14_Myeloid_cell"
"11","Epithelial_cells","HSC","C11-Germinal_center_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","CD8+ T-cells","C1-Follicular_B_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"13","Epithelial_cells","Epithelial cells","C13-Fibroblast"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","Epithelial_cells","CD8+ T-cells","C6-NK_activated"
"9","T_cells","CD8+ T-cells","C9-TAM"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"9","T_cells","CD8+ T-cells","C9-TAM"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"10","Epithelial_cells","HSC","C10-Goblet_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","T_cells","NK cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"12","Monocyte","Monocytes","C12-Progenitor_cell"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"13","Epithelial_cells","Epithelial cells","C13-Fibroblast"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","NK_cell","NK cells","C6-NK_activated"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"9","T_cells","CD8+ T-cells","C9-TAM"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","Epithelial_cells","Epithelial cells","C6-NK_activated"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"11","Epithelial_cells","Epithelial cells","C11-Germinal_center_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"14","B_cell","B-cells","C14-Transit_amplifying_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"5","T_cells","NK cells","C5-CD14_Myeloid_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"5","T_cells","CD8+ T-cells","C5-CD14_Myeloid_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"14","B_cell","B-cells","C14-Transit_amplifying_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"11","Epithelial_cells","B-cells","C11-Germinal_center_B_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"6","T_cells","CD4+ T-cells","C6-NK_activated"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"5","NK_cell","CD8+ T-cells","C5-CD14_Myeloid_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"14","B_cell","B-cells","C14-Transit_amplifying_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"7","Epithelial_cells","Epithelial cells","C7-Ciliated_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"3","Epithelial_cells","Epithelial cells","C3-Stem_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"9","T_cells","CD8+ T-cells","C9-TAM"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"5","Pre-B_cell_CD34-","CD8+ T-cells","C5-CD14_Myeloid_cell"
"6","T_cells","HSC","C6-NK_activated"
"9","T_cells","CD8+ T-cells","C9-TAM"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"1","Epithelial_cells","CD8+ T-cells","C1-Follicular_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"5","T_cells","NK cells","C5-CD14_Myeloid_cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"11","B_cell","B-cells","C11-Germinal_center_B_cell"
"6","Fibroblasts","Fibroblasts","C6-NK_activated"
"9","T_cells","CD8+ T-cells","C9-TAM"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"10","T_cells","CD8+ T-cells","C10-Goblet_cell"
"1","Epithelial_cells","Epithelial cells","C1-Follicular_B_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
"14","B_cell","B-cells","C14-Transit_amplifying_cell"
"13","iPS_cells","Epithelial cells","C13-Fibroblast"
"4","Epithelial_cells","Epithelial cells","C4-Plasma_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"13","Epithelial_cells","Epithelial cells","C13-Fibroblast"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"5","NK_cell","NK cells","C5-CD14_Myeloid_cell"
"8","Epithelial_cells","Epithelial cells","C8-Transit_Amplifying_Cell"
"6","T_cells","CD8+ T-cells","C6-NK_activated"
